Top250,MovieName,OtherName,Director,Year,Country,Type,Rating,EvaluationNum,quote
1,肖申克的救赎,月黑高飞(港)/刺激1995(台),弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,2049503,希望让人自由。
2,霸王别姬,再见，我的妾/Farewell My Concubine,陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1519085,风华绝代。
3,阿甘正传,福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,1550216,一部美国近现代史。
4,这个杀手不太冷,杀手莱昂/终极追杀令(台),吕克·贝松 Luc Besson,1994,法国,剧情 动作 犯罪,9.4,1742090,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,一个快乐的传说(港)/Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,973441,最美的谎言。
6,泰坦尼克号,铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron,1997,美国,剧情 爱情 灾难,9.4,1501799,失去的才是永恒的。 
7,千与千寻,神隐少女(台)/千与千寻的神隐,宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,1607305,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,舒特拉的名单(港)/辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,790406,拯救一个人，就是拯救整个世界。
9,盗梦空间,潜行凶间(港)/全面启动(台),克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,1481758,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,秋田犬八千(港)/忠犬小八(台),莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1030087,永远都不能忘记你所爱的人。
11,海上钢琴师,声光伴我飞(港)/一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1235616,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
