instant	weathersit	casual	registered
1	2	331	654
2	2	131	670
3	1	120	1229
4	1	108	1454
5	1	82	1518
6	1	88	1518
7	2	148	1362
8	2	68	891
9	1	54	768
10	1	41	1280
11	2	43	1220
12	1	25	1137
13	1	38	1368
14	1	54	1367
15	2	222	1026
16	1	251	953
17	2	117	883
18	2	9	674
19	2	78	1572
20	2	83	1844
21	1	75	1468
22	1	93	888
23	1	150	836
24	1	86	1330
25	2	186	1799
26	3	34	472
27	1	15	416
28	2	38	1129
29	1	123	975
30	1	140	956
31	2	42	1459
32	2	47	1313
33	2	72	1454
34	1	61	1489
35	2	88	1620
36	2	100	905
37	1	354	1269
38	1	120	1592
39	1	64	1466
40	2	53	1552
41	1	47	1491
42	1	149	1597
43	1	288	1184
44	1	397	1192
45	1	208	1705
46	1	140	1675
47	1	218	1897
48	1	259	2216
49	1	579	2348
50	1	532	1103
51	1	639	1173
52	2	195	912
53	1	74	1376
54	1	139	1778
55	2	100	1707
56	2	120	1341
57	1	424	1545
58	1	694	1708
59	2	81	1365
60	1	137	1714
61	1	231	1903
62	1	123	1562
63	2	214	1730
64	2	640	1437
65	2	114	491
66	1	244	1628
67	1	316	1817
68	2	191	1700
69	3	46	577
70	2	247	1730
71	1	724	1408
72	1	982	1435
73	1	359	1687
74	2	289	1767
75	2	321	1871
76	1	424	2320
77	1	884	2355
78	1	1424	1693
79	1	1047	1424
80	2	401	1676
81	1	460	2243
82	2	203	1918
83	2	166	1699
84	1	300	1910
85	1	981	1515
86	2	472	1221
87	1	222	1806
88	1	317	2108
89	2	168	1368
90	3	179	1506
91	2	307	1920
92	2	898	1354
93	1	1651	1598
94	1	734	2381
95	2	167	1628
96	1	413	2395
97	1	571	2570
98	2	172	1299
99	2	879	1576
100	2	1188	1707
101	2	855	2493
102	2	257	1777
103	2	209	1953
104	1	529	2738
105	1	642	2484
106	3	121	674
107	1	1558	2186
108	1	669	2760
109	2	409	2795
110	1	613	3331
111	1	745	3444
112	2	177	1506
113	2	1462	2574
114	2	1710	2481
115	1	773	3300
116	1	678	3722
117	2	547	3325
118	2	569	3489
119	1	878	3717
120	1	1965	3347
121	2	1138	2213
122	2	847	3554
123	2	603	3848
124	2	255	2378
125	1	614	3819
126	1	894	3714
127	1	1612	3102
128	1	1401	2932
129	1	664	3698
130	1	694	4109
131	1	550	3632
132	1	695	4169
133	2	692	3413
134	2	902	2507
135	2	1582	2971
136	1	773	3185
137	2	678	3445
138	2	536	3319
139	2	735	3840
140	1	909	4008
141	1	2258	3547
142	1	1576	3084
143	2	836	3438
144	2	659	3833
145	1	740	4238
146	1	758	3919
147	1	871	3808
