Date,NAO
1824-01-01,-0.16
1824-02-01,0.25
1824-03-01,-1.44
1824-04-01,1.46
1824-05-01,1.34
1824-06-01,-3.94
1824-07-01,-2.75
1824-08-01,-0.08
1824-09-01,0.19
1824-10-01,-1
1824-11-01,-0.7
1824-12-01,-0.01
1825-01-01,-0.23
1825-02-01,0.21
1825-03-01,0.33
1825-04-01,-0.28
1825-05-01,0.13
1825-06-01,0.41
1825-07-01,-0.92
1825-08-01,1.43
1825-09-01,-0.95
1825-10-01,1.98
1825-11-01,1.06
1825-12-01,-1.31
1826-01-01,-3.05
1826-02-01,4.87
1826-03-01,-0.97
1826-04-01,1.78
1826-05-01,-1.2
1826-06-01,0.83
1826-07-01,1.89
1826-08-01,2.72
1826-09-01,-0.76
1826-10-01,0.18
1826-11-01,-2.41
1826-12-01,-0.59
1827-01-01,-0.45
1827-02-01,-3.72
1827-03-01,1.83
1827-04-01,-0.83
1827-05-01,1.2
1827-06-01,-0.07
1827-07-01,2.02
1827-08-01,-3.56
1827-09-01,-0.07
1827-10-01,-3.02
1827-11-01,-1.42
1827-12-01,2.7
1828-01-01,1.27
1828-02-01,0.37
1828-03-01,-0.18
1828-04-01,0.04
1828-05-01,-1.59
1828-06-01,-1.33
1828-07-01,-4.4
1828-08-01,-2.54
1828-09-01,-2.78
1828-10-01,0.1
1828-11-01,-2.57
1828-12-01,3.04
1829-01-01,-2.48
1829-02-01,0.32
1829-03-01,-2.54
1829-04-01,0.12
1829-05-01,1.8
1829-06-01,-0.1
1829-07-01,0.33
1829-08-01,0.77
1829-09-01,0.78
1829-10-01,0.71
1829-11-01,-0.33
1829-12-01,-0.43
1830-01-01,-2.33
1830-02-01,1.2
1830-03-01,3.58
1830-04-01,3.08
1830-05-01,-0.05
1830-06-01,-0.85
1830-07-01,3.19
1830-08-01,-0.35
1830-09-01,2.04
1830-10-01,2.04
1830-11-01,2.19
1830-12-01,-3.13
1831-01-01,-2.91
1831-02-01,1.4
1831-03-01,1.48
1831-04-01,-3.15
1831-05-01,-2.47
1831-06-01,-1.36
1831-07-01,2.71
1831-08-01,-3.04
1831-09-01,-1.53
1831-10-01,0.85
1831-11-01,0.26
1831-12-01,0.36
1832-01-01,-0.04
1832-02-01,0.83
1832-03-01,2.12
1832-04-01,-1.51
1832-05-01,-1.96
1832-06-01,-3.62
1832-07-01,-2.57
1832-08-01,0.92
1832-09-01,1.45
1832-10-01,2.25
1832-11-01,0.62
1832-12-01,3.32
1833-01-01,-0.36
1833-02-01,2.52
1833-03-01,-2.89
1833-04-01,2.02
1833-05-01,0.69
1833-06-01,-1.52
1833-07-01,0.13
1833-08-01,-1.74
1833-09-01,-0.93
1833-10-01,-1.75
1833-11-01,1.4
1833-12-01,4.17
1834-01-01,3.07
1834-02-01,2.66
1834-03-01,1.37
1834-04-01,-2.38
1834-05-01,-1.03
1834-06-01,0.27
1834-07-01,-0.73
1834-08-01,-0.86
1834-09-01,-0.62
1834-10-01,0.3
1834-11-01,-2.28
1834-12-01,0.11
1835-01-01,0.37
1835-02-01,3.37
1835-03-01,1.54
1835-04-01,-1.02
1835-05-01,0.58
1835-06-01,0.1
1835-07-01,0.57
1835-08-01,2.35
1835-09-01,0.29
1835-10-01,-0.3
1835-11-01,-1.31
1835-12-01,-1.46
1836-01-01,1.47
1836-02-01,0.06
1836-03-01,2.28
1836-04-01,0.87
1836-05-01,-1.5
1836-06-01,2.95
1836-07-01,4.33
1836-08-01,2.8
1836-09-01,-1.59
1836-10-01,-1.17
1836-11-01,2.04
1836-12-01,-1.41
1837-01-01,-1.16
1837-02-01,4.67
1837-03-01,-3.08
1837-04-01,-0.56
1837-05-01,-1.02
1837-06-01,-2.98
1837-07-01,-2.4
1837-08-01,0.01
1837-09-01,0.17
1837-10-01,2.52
1837-11-01,1.34
1837-12-01,1.37
1838-01-01,-2.16
1838-02-01,-1.81
1838-03-01,1.23
1838-04-01,-0.61
1838-05-01,-2.16
1838-06-01,1.24
1838-07-01,0.11
1838-08-01,1.16
1838-09-01,1.46
1838-10-01,0.59
1838-11-01,-2.65
1838-12-01,2.55
1839-01-01,1.24
1839-02-01,4.2
1839-03-01,0.79
1839-04-01,1.4
1839-05-01,-0.94
1839-06-01,0.01
1839-07-01,1.14
1839-08-01,0.04
1839-09-01,1.09
1839-10-01,-1.27
1839-11-01,-2.89
1839-12-01,-0.63
1840-01-01,2.97
1840-02-01,-0.4
1840-03-01,-3.05
1840-04-01,0.87
1840-05-01,-0.58
1840-06-01,-0.08
1840-07-01,1.23
1840-08-01,0.05
1840-09-01,0.46
1840-10-01,-2.5
