省份,批次,科类,本二线,最高分,最低分,平均分,备注
安徽,本科提前(航海类),理工,477,540,493,516,
安徽,本二批,理工,477,585,543,551,
安徽,本二批,文史,510,563,556,558,
安徽,艺术类,美术文,文318/专175,333,315,325,按综合分投档专业分录取
北京,本科提前(航海类),理工,435,466,459,463,
北京,本二批,理工,435,464,422,440,
北京,本二批,文史,481,514,471,492,
甘肃,本科提前(航海类),理工,448,511,469,482,
甘肃,本二批,理工,448,493,464,480,
甘肃,本二批,文史,458,502,488,498,
甘肃,艺术类,美术文,文270/专245,282,267,274,按专业分投档录取
广东,本二批,理工,504,567,537,544,
广东,本二批,文史,536,577,544,570,
广西,本科提前(航海类),理工,424,495,466,476,
广西,本二批,理工,424,517,442,498,
广西,本二批,文史,456,520,516,518,
广西,艺术类,音表文,文296/专141,175,157,165,按专业分投档录取
广西,艺术类,舞蹈文,文296/专123,155,135,147,按专业分投档录取
贵州,本科提前(航海类),理工,376,459,392,423,
贵州,本二批,理工,376,472,443,454,
贵州,本二批,文史,446,526,518,521,
海南,本科提前(航海类),理工,548,651,608,623,
海南,本二批,理工,548,631,614,620,
海南,本二批,文史,595,677,673,675,
河北,本科提前(航海类),理工,535,591,552,565,
河北,本二批,理工,535,590,578,583,
河北,本二批,文史,524,577,561,566,
河北,艺术类,美术文,文340/专205,278,259,267,按专业分投档录取
河北,艺术类,声乐文,文335/专120,173,156,165,按专业分投档录取
河南,本科提前(航海类),理工,531,584,558,569,
河南,本二批,理工,531,599,581,585,
河南,本二批,文史,515,569,561,563,
河南,艺术类,美术文,文334/专180,274,246,260,按专业分投档录取
河南,艺术类,音表文,文309/专85,148,136,142,按专业分投档录取
黑龙江,本二批,理工,465,621,501,538,
黑龙江,本二批,文史,462,537,499,519,
湖北,本科提前(航海类),理工,517,593,517,544,
湖北,本二批,理工,517,579,558,568,
湖北,本二批,文史,507,550,541,546,
湖北,艺术类,美术文,文330/专188,239,215,228,按综合分投档专业分录取
湖南,本科提前(航海类),理工,492,568,513,532,
湖南,本二批,理工,492,578,569,572,
湖南,本二批,文史,528,585,583,584,
湖南,艺术类,美术文,文343,269,251,258,外省院校艺术专业（含湖南大学和中南大学的音乐类专业）的专业录取控制分数线由招生学校依据有关规定确定
湖南,艺术类,音乐文,文343,250,232,238
湖南,艺术类,舞蹈文,文343,233,225,227
吉林,本科提前(航海类),理工,443,538,521,530,
吉林,本二批,理工,443,553,511,530,
吉林,本二批,文史,437,541,534,537,
江苏,本科提前(航海类),理科,320,341,320,330,
江苏,本二批,理科,320,348,329,338,
江苏,本二批,文科,319,344,340,342,
江苏,艺术类,美术文,文219/专180,252,220,234,按综合分投档专业分录取
江西,本科提前(航海类),理工,474,551,500,517,
江西,本二批,理工,474,564,532,538,
江西,本二批,文史,484,549,534,540,
江西,艺术类,音表文,文200/专100,169,158,162,按专业分投档录取
江西,艺术类,美术文,文200/专180,263,237,245,按专业分投档录取
辽宁,本科提前(航海类),理工,452,544,480,504,
辽宁,本二批,理工,452,542,464,517,
辽宁,本二批,文史,475,569,526,539,
辽宁,艺术类,音表文,文200/专170,265,250,257,按专业分投档录取
内蒙古,本二批,理工,409,473,438,454,
内蒙古,本二批,文史,430,493,473,483,
内蒙古,艺术类,美术文,文188/专165,263,250,255,按专业分投档录取
宁夏,本二批,理工,444,496,473,479,
宁夏,本二批,文史,463,505,500,501,
青海,本二批,理工,331,418,368,382,
青海,本二批,文史,380,439,410,427,
