省份,批次,科类,控制线,最高分,最低分,平均分,备注
安徽,提前批航海类,理工,478,558,493,522,
安徽,本一批,理工,544,589,564,568,
安徽,本一批,文史,577,602,592,594,
安徽,艺术类,美术文,文324/综685.53,专341,专306,专324,按综合分出档专业分录取
安徽,艺术类,音乐文,文324/综529.57,专170,专149,专159,按综合分出档专业分录取
北京,提前批航海类,理工,433,437,437,437,
北京,本二批,理工,433,468,436,452,
北京,本二批,文史,446,477,454,467,
北京,艺术类,美术文,文290/专200,专251,专219,专228,
甘肃,提前批航海类,理工,462,511,464,480,
甘肃,本二批,理工,462,561,490,502,
甘肃,本二批,文史,485,542,522,529,
甘肃,艺术类,文理兼收,文272/专245,专286,专273,专279,
广东,本二批,理工,523,594,553,567,
广东,本二批,文史,545,586,580,583,
广东,艺术类,音乐文,文324/专217,专239,专226,专233,
广西,提前批航海类,理工,444,506,460,485,
广西,本二批,理工,444,554,498,533,
广西,本二批,文史,473,568,547,555,
贵州,提前批航海类,理工,390,462,393,423,
贵州,本二批,理工,390,509,473,481,
贵州,本二批,文史,461,550,540,544,
海南,提前批航海类,理工,545,639,585,602,
海南,本二批,理工,545,656,597,617,
海南,本二批,文史,591,689,667,675,
河北,提前批航海类,理工,509,563,527,545,
河北,本二批,理工,509,577,565,569,
河北,本二批,文史,529,589,575,579,
河北,艺术类,美术文,文344/专200,专278,专261,专268,
河北,艺术类,器乐文,文280/专120,专162,专160,专161,
河北,艺术类,声乐文,文344/专120,专179,专164,专172,
河北,艺术类,舞蹈文,文344/专120,专150,专144,专147,
河南,提前批航海类,理工,481,562,489,517,
河南,本一批,理工,540,565,544,553,
河南,本一批,文史,557,589,567,572,
河南,艺术类,美术文,文315/专185,专269,专256,专262,
河南,艺术类,音乐文,文300/专85,专142,专140,专141,
河南,艺术类,器乐文,文300/专85,专143,专125,专135,
黑龙江,本二批,理工,425,544,488,508,
黑龙江,本二批,文史,449,523,511,517,
湖北,提前批航海类,理工,492,556,494,524,
湖北,本二批,理工,492,569,543,550,
湖北,本二批,文史,514,566,561,562,
湖北,艺术类,美术文,文335/,专253,专229,专239,
湖南,提前批航海类,理工,451,521,471,489,
湖南,本二批,理工,451,550,522,527,
湖南,本二批,文史,523,588,579,583,
湖南,艺术类,美术文,文398/专223,专266,专258,专262,
湖南,艺术类,音乐文,文339/专206,专239,专227,专231,
湖南,艺术类,舞蹈文,文339/专206,专226,专217,专221,
吉林,提前批航海类,理工,412,515,497,506,
吉林,本二批,理工,412,526,419,489,
吉林,本二批,文史,435,532,516,525,
江苏,提前批航海类,理工,312,339,312,320,
江苏,本二批,理工,312,347,332,336,
江苏,本二批,文史,311,341,333,337,
江苏,艺术类,美术文,文215/专180,专263,专235,专246,
江西,提前批航海类,理工,486,558,520,532,
江西,本二批,理工,486,568,549,554,
江西,本二批,文史,523,585,577,580,
辽宁,提前批航海类,理工,445,541,477,500,
辽宁,本二批,理工,445,534,497,519,
辽宁,本二批,文史,506,571,557,563,
内蒙古,本二批,理工,390,473,427,455,
内蒙古,本二批,文史,429,496,459,484,
内蒙古,艺术类,美术文,文225/专182,专255,专237,专246,
宁夏,本二批,理工,401,457,424,431,
宁夏,本二批,文史,453,493,487,491,
青海,本二批,理工,355,469,375,408,
青海,本二批,文史,372,445,427,432,
青海,预科批,理工,362,387,354,376,
青海,预科批,文史,345,401,368,388,
山东,提前批航海类,理工,535,599,540,564,航海类参考军检线
山东,本二批,理工,430,636,570,590,
山东,本二批,文史,450,597,571,581,
山东,艺术类,美术文,文300,专293,专180,专263,
山西,提前批航海类,理工,476,531,485,502,
山西,本二批,理工,476,533,503,521,
山西,本二批,文史,492,558,536,539,
山西,艺术类,美术文,文320/专205,专270,专252,专257,
山西,艺术类,音乐文,文320/专65,专86,专83,专85,
山西,艺术类,舞蹈文,文271/专63,专69,专66,专67,
陕西,本二批,理工,461,543,506,515,
陕西,本二批,文史,497,569,551,556,
陕西,艺术类,美术文,文323/专168,专247,专238,专242,
