省份,批次,科类,省控线,最高分,最低分,平均分,备注
安徽,提前批航海类,理工,438,499,445,466,
安徽,本一批,理工,489,547,523,527,
安徽,本一批,文史,541,574,566,568,
安徽,艺术类,美术,文312/专170,344,315,332,按综合分出档，出档分769
安徽,艺术类,音乐,文312/专95,173,161,168,按综合分出档，出档分688
安徽,专项计划,理工,489,526,510,520,
安徽,专项计划,文史,541,569,563,566,
北京,提前批航海类,理工,495,506,484,497,
北京,本二批,理工,495,528,508,517,
北京,本二批,文史,507,554,510,531,
北京,艺术类,美术,文329/专190,256,252,255,
福建,师范类面向全省,理工,506,573,518,532,
福建,师范类面向全省,文史,561,591,569,576,
福建,师范类面向厦门,理工,506,544,506,525,
福建,师范类面向厦门,文史,561,586,568,574,
福建,提前批航海类,理工,408,527,469,491,
福建,农村专项计划,理工,506,580,541,553,
福建,农村专项计划,文史,561,596,577,585,
福建,本一批,理工,506,614,515,553,
福建,本一批,文史,561,616,581,590,
福建,本一批面向厦门,理工,506,585,530,548,
福建,本一批面向厦门,文史,561,606,570,583,
福建,本一批闽台合作,理工,506,552,506,515,
福建,本一批农林类,理工,506,543,508,519,
福建,体育类,体育（理）,文265/专69,604,536,563,
福建,体育类,体育（文）,文313/专69,609,570,580,
福建,艺术类,美术学理,文265/专195,544,529,535,
福建,艺术类,美术学文,文313/专195,566,549,552,
福建,艺术类,音表文,文313/专195,580,565,569,
福建,艺术类,音乐学理,文265/专195,573,536,552,
福建,艺术类,音乐学文,文313/专195,592,570,576,
福建,艺术类闽台合作,美术理,文265/专195,561,541,549,
福建,艺术类闽台合作,美术文,文313/专195,570,557,561,
福建,预科批,理工,,547,506,516,
福建,预科批,文史,,572,548,559,
甘肃,提前批航海类,理工,459,513,466,483,
甘肃,本一批,理工,516,540,523,531,
甘肃,本一批,文史,543,575,554,560,
甘肃,本二批,理工,459,564,497,509,
甘肃,本二批,文史,499,552,539,543,
甘肃,艺术类,美术,文298/专236,283,241,265,
广东,本二批,理科普通类,504,561,531,552,
广东,本二批,文科普通类,534,584,577,579,
广东,艺术类,音乐,文335/专208,237,226,233,
广西,提前批航海类,文理综合,407,528,410,465,
广西,本二批,理工,407,559,478,531,
广西,本二批,文史,463,584,557,567,
贵州,提前批航海类,理工,382,564,383,422,
贵州,专项计划,理工,484,556,538,544,
贵州,专项计划,文史,569,607,596,602,
贵州,本一批,理工,484,555,538,544,
贵州,本一批,文史,569,607,596,600,
贵州,本二批,理工,382,515,456,484,
贵州,本二批,文史,489,585,570,575,
海南,提前批航海类,理工,542,645,565,593,
海南,本一批,理工,606,632,613,621,
海南,本二批,理工,542,640,589,621,
海南,本二批,文史,590,700,688,692,
河北,提前批航海类,理工,503,583,505,540,
河北,本一批,理工,573,610,586,595,
河北,本一批,文史,563,593,578,587,
河北,艺术类,美术,文326/专209,265,256,260,
河北,艺术类,音乐(器乐),文326/专110,169,158,162,
河北,艺术类,音乐(声乐),文326/专125,167,163,165,
河南,提前批航海类,理科综合,476,568,478,520,
河南,专项计划,理科综合,547,586,555,564,
河南,专项计划,文科综合,536,557,546,551,
河南,本一批,理科综合,547,587,570,574,
河南,本一批,文科综合,536,564,550,555,
河南,艺术类,美术,文324/专205,280,266,271,
河南,艺术类,音乐(器乐),文314/专95,152,145,149,
河南,艺术类,音乐(声乐),文314/专95,149,126,135,
黑龙江,本二批,理工,414,562,534,543,
黑龙江,本二批,文史,454,564,551,555,
湖北,提前批航海类,理工类,471,531,455,496,
湖北,本二批,理工类,471,555,521,536,
湖北,本二批,文史类,482,549,537,541,
湖北,艺术类,美术,文270/专187,256,197,221,按综合分出档，出档分586.8
湖南,提前批航海类,理工类,442,529,452,483,
湖南,本二批,理工类,442,551,503,533,
湖南,本二批,文史类,501,584,573,577,
湖南,艺术类,美术,文325/专160,273,260,264,
湖南,艺术类,音乐,文325/专160,246,235,240,
吉林,提前批航海类,理工,421,552,523,536,
吉林,本二批,理工,421,559,542,549,
吉林,本二批,文史,401,566,547,560,
江苏,提前批航海类,理科,312,334,310,317,
江苏,本一批,理科,345,358,347,351,
江苏,本二批,理科,312,344,331,340,
江苏,本二批,文科,301,335,331,333,
江苏,艺术类,美术,文235/专180,251,226,241,按综合分出档，出档分484
江西,提前批航海类,理工,471,529,503,515,
江西,本一批,理工,526,569,551,555,
江西,本一批,文史,524,549,544,546,
江西,本二批,理工,471,541,527,531,
江西,本二批,文史,479,532,525,527,
辽宁,提前批航海类,理工,450,544,470,500,
辽宁,本一批,理工,526,576,555,562,
辽宁,本一批,文史,552,572,566,569,
内蒙古,本二批,普通理科,388,526,485,504,
内蒙古,本二批,普通文科,455,564,523,536,
内蒙古,艺术类,美术,文260/专180,254,241,246,
宁夏,本二批,理工,440,498,458,473,
宁夏,本二批,文史,486,528,519,523,
青海,本二批,理工,362,451,381,410,
青海,本二批,文史,426,473,466,470,
青海,预科批,理工,,390,365,372,
青海,预科批,文史,,461,421,439,
山东,提前批航海类,理工类,460,598,547,567,
山东,本一批,理工类,572,620,593,601,
山东,本一批,文史类,579,623,596,602,
山东,本二批,理工类,460,590,576,582,
山东,本二批,文史类,490,592,581,586,
山东,艺术类,美术,文320/专185,290,285,287,
山西,提前批航海类,理工,462,550,486,504,
山西,本一批,理工,534,568,537,546,
山西,本一批,文史,526,544,530,536,
山西,艺术类,美术,文342/专200,256,249,252,
山西,艺术类,音乐,文342/专68,84,83,83,
陕西,本二批,理工,452,540,501,511,
陕西,本二批,文史,492,562,547,556,
陕西,艺术类,美术,文320/专198,249,227,237,
上海,提前批航海类,理科,351,375,368,372,
上海,本二批,理科,351,422,382,392,
上海,本二批,文科,390,427,418,423,
四川,提前批航海类,理工,475,549,487,510,
四川,本一批,理工,540,567,555,560,
四川,本一批,文史,551,570,562,565,
四川,本二批,理工,475,546,534,542,
四川,艺术类,美术,文380/专210,252,247,249,
四川,艺术类,音乐,文245/专270,341,270,292,
