省份,批次,科类,省控线,最高分,最低分,平均分
安徽,提前批航海类,理工,494,555,473,495
安徽,本一批,理工,518,576,565,569
安徽,本一批,文史,521,568,559,560
北京,提前批航海类,理工,494,—,—,—
北京,本二批,理工,494,537,521,528
北京,本二批,文史,532,551,548,549
福建,提前批航海类,理工,352,485,409,443
福建,师范类-全省,理工,465,520,487,497
福建,师范类-全省,文史,501,533,508,517
福建,师范类-厦门,理工,465,513,487,501
福建,师范类-厦门,文史,501,542,513,519
福建,农村专项计划,理工,465,544,493,508
福建,农村专项计划,文史,501,552,511,525
福建,本一批,理工,465,564,465,510
福建,本一批,文史,501,558,510,529
福建,本一批(面向厦门),理工,465,541,481,498
福建,本一批(面向厦门),文史,501,541,508,523
福建,闽台合作,理工,465,507,468,475
福建,预科批,理工,,479,431,453
福建,预科批,文史,,507,456,479
甘肃,提前批航海类,理工,435,494,445,460
甘肃,本一批,理工,490,531,523,528
甘肃,本一批,文史,504,535,529,532
甘肃,本二批,理工,435,513,486,492
甘肃,本二批,文史,455,514,506,509
广东,本二批,理科,402,537,501,507
广东,本二批,文科,417,520,514,516
广西,提前批航海类,理工,333,507,339,405
广西,本二批,理工,333,529,501,509
广西,本二批,文史,400,575,554,561
贵州,提前批航海类,理工,365,476,365,401
贵州,专项计划,理工,473,529,501,514
贵州,专项计划,文史,551,593,577,584
贵州,本一批,理工,473,562,551,555
贵州,本一批,文史,551,616,598,601
贵州,本二批,理工,365,551,462,480
贵州,本二批,文史,457,577,565,568
海南,提前批航海类,理工,543,604,545,573
海南,本一批,理工,602,638,622,630
海南,本二批,理工,543,619,610,614
海南,本二批,文史,577,693,667,674
河北,提前批航海类,理工,364,559,388,487
河北,专项计划,理工,525,587,578,581
河北,本一批,理工,525,595,579,586
河北,本一批,文史,535,601,582,588
河南,提前批航海类,理工,447,551,447,488
河南,专项计划,理工,523,564,543,553
河南,专项计划,文史,517,549,533,539
河南,本一批,理工,523,578,562,566
河南,本一批,文史,517,565,548,552
黑龙江,提前批航海类,理工,369,527,449,471
黑龙江,专项计划,理工,486,494,493,494
黑龙江,本二批,理工,369,552,527,534
黑龙江,本二批,文史,401,520,510,514
湖北,提前批航海类,理工,350,520,485,503
湖北,本二批,理工,350,588,519,528
湖北,本二批,文史,403,541,525,531
湖南,提前批航海类,理工,439,520,439,471
湖南,专项计划,理工,517,520,516,518
湖南,专项计划,文史,530,538,538,538
湖南,本二批,理工,439,552,523,531
湖南,本二批,文史,476,547,541,543
吉林,提前批航海类,理工,402,533,470,497
吉林,本二批,理工,402,539,501,515
吉林,本二批,文史,413,530,475,511
江苏,提前批航海类,理科,315,339,316,323
江苏,本一批,理科,353,360,351,355
江苏,本二批,理科,315,353,346,348
江苏,本二批,文科,325,355,350,352
江西,提前批航海类,理工,445,536,501,517
江西,本一批,理工,529,585,565,570
江西,本一批,文史,523,564,555,559
江西,本二批,理工,445,547,535,538
江西,本二批,文史,450,535,529,530
辽宁,提前批航海类,理工,373,523,385,447
辽宁,本一批,理工,498,579,537,557
辽宁,本一批,文史,525,555,548,551
内蒙古,本一批,理工,484,542,521,530
内蒙古,本一批,文史,477,537,523,528
宁夏,本二批,理工,434,488,463,471
宁夏,本二批,文史,486,526,519,522
青海,本二批,理工,380,464,418,438
青海,本二批,文史,415,507,467,486
青海,预科批,理工,,401,389,396
青海,预科批,文史,,457,424,442
山东,提前批航海类,理工,451,563,451,502
山东,本一批,理工,537,601,584,589
山东,本一批,文史,530,569,559,562
山东,本二批,理工,451,583,515,551
山东,本二批,文史,474,541,534,538
山西,提前批航海类,理工,438,508,443,468
山西,本一批,理工,519,552,521,530
山西,本一批,文史,518,536,522,528
陕西,本二批,理工,423,496,469,478
陕西,本二批,文史,460,517,512,515
上海,提前批航海类,理工,360,—,—,—
上海,本科批,理科,360,432,391,399
上海,本科批,文科,368,429,408,415
四川,提前批航海类,理工,453,546,456,505
四川,专项计划,理工,532,596,556,568
四川,专项计划,文史,540,573,570,572
四川,本一批,理工,532,597,571,579
四川,本一批,文史,540,580,574,577
四川,预科批,理工,,535,514,529
四川,预科批,文史,,532,522,527
天津,提前批航海类,理工,424,504,414,443
天津,本二批,理工,424,508,485,492
天津,本二批,文史,460,532,517,523
西藏,本一批(汉考汉),理工,425,497,442,467
西藏,本一批(汉考汉),文史,440,492,467,477
西藏,本一批(民考汉),理工,285,328,299,312
西藏,本一批(民考汉),文史,325,386,354,369
新疆,专项计划,理工,464,453,440,446
新疆,专项计划,文史,487,507,474,486
新疆,本二批,理工,394,514,494,499
新疆,本二批,文史,415,521,514,516
新疆,本二批(定向),理工,394,494,474,485
新疆,本二批(定向),文史,415,509,487,494
新疆,预科批,理工,,399,385,392
新疆,预科批,文史,,466,434,447
云南,提前批航海类,理工,445,509,446,467
云南,专项计划,理工,525,556,516,537
云南,专项计划,文史,560,586,585,586
云南,本一批,理工,525,543,527,531
云南,本二批,理工,445,548,503,525
云南,本二批,文史,495,579,567,573
云南,预科批,理工,,493,473,482
云南,预科批,文史,,552,530,537
浙江,提前批航海类,理工,439,542,451,487
浙江,本二批,理工,439,553,538,545
浙江,本二批,文史,462,556,554,555
重庆,提前批航海类,理工,416,526,469,497
重庆,专项计划,理工,525,529,520,525
重庆,专项计划,文史,527,538,531,535
重庆,本二批,理工,416,574,522,533
重庆,本二批,文史,435,555,538,544
重庆,本二批(定向),理工,416,530,523,526
重庆,本二批(定向),文史,435,529,516,520
重庆,预科批,理工,,480,468,475
重庆,预科批,文史,,497,473,483
