省份,批次,科类,省控线,录取人数,最高分,最低分,平均分
安徽,提前批(航海类),理工,426,75,543,466,479
安徽,专项计划,理工,496,3,579,573,575
安徽,专项计划,文史,550,2,588,588,588
安徽,本一批,理工,496,72,568,557,561
安徽,本一批,文史,550,19,589,586,587
北京,提前批(航海类),理工,423,4,507,423,463
北京,本科批,理工,423,2,520,515,518
北京,本科批,文史,480,2,548,540,544
福建,提前批(航海类),理工,393,62,503,448,468
福建,师范类-全省,理工,493,205,548,508,527
福建,师范类-全省,文史,550,238,581,554,565
福建,师范类-厦门,理工,493,40,568,512,528
福建,师范类-厦门,文史,550,50,576,551,561
福建,专项计划,理工,493,186,544,510,521
福建,专项计划,文史,550,50,569,553,559
福建,本一批(面向全省),理工,493,1241,555,493,526
福建,本一批(面向全省),文史,550,258,584,557,568
福建,本一批(面向厦门),理工,493,164,553,497,511
福建,本一批(面向厦门),文史,550,42,575,550,558
福建,本一批(闽台合作),理工,493,40,520,505,509
福建,预科批,理工,493,40,507,477,488
福建,预科批,文史,550,20,557,539,545
甘肃,提前批(航海类),理工,366,60,476,444,454
甘肃,本一批,理工,470,9,543,531,535
甘肃,本一批,文史,519,9,564,559,561
甘肃,本二批,理工,366,88,508,482,489
甘肃,本二批,文史,400,13,548,536,539
广东,提前批(航海类),理科普通类,390,10,514,460,484
广东,本科批,理科普通类,390,30,545,509,514
广东,本科批,文科普通类,455,6,559,556,558
广西,提前批(航海类),理工,347,30,488,362,407
广西,本二批,理工,347,177,557,469,524
广西,本二批,文史,388,24,563,536,544
贵州,提前批(航海类),理工,396,60,448,388,407
贵州,专项计划,理工,470,10,524,469,498
贵州,专项计划,文史,542,5,578,574,575
贵州,本一批,理工,470,17,577,550,556
贵州,本一批,文史,542,11,598,590,593
贵州,本二批,理工,396,299,506,435,478
贵州,本二批,文史,453,30,575,547,560
海南,提前批(航海类),理工,539,18,616,541,569
海南,本科批,理工,539,18,649,556,621
海南,本科批,文史,593,4,699,690,696
河北,提前批(航海类),理工,379,60,533,467,486
河北,专项计划,理工,502,3,578,573,575
河北,本一批,理工,502,61,587,569,575
河北,本一批,文史,549,18,605,601,602
河南,提前批(航海类),理科综合,385,75,516,447,474
河南,专项计划,理科综合,502,9,563,538,548
河南,专项计划,文科综合,536,5,574,571,573
河南,本一批,理科综合,502,160,580,538,564
河南,本一批,文科综合,536,20,581,574,576
黑龙江,提前批(航海类),理工,372,18,496,464,476
黑龙江,专项计划,理工,372,2,513,505,509
黑龙江,本二批,理工,372,19,541,470,518
黑龙江,本二批,文史,424,5,538,528,534
湖北,提前批(航海类),理工类,388,20,506,459,480
湖北,本二批,理工类,388,44,536,506,517
湖北,本二批,文史类,445,6,566,556,559
湖南,提前批(航海类),理工类,448,30,502,457,474
湖南,专项计划,理工类,448,6,520,510,515
湖南,专项计划,文史类,523,4,577,570,573
湖南,本二批,理工类,448,36,538,509,518
湖南,本二批,文史类,523,6,573,566,570
吉林,提前批(航海类),理工,350,28,528,468,490
吉林,本二批,理工,350,14,538,523,527
吉林,本二批,文史,372,8,549,543,545
江苏,提前批(航海类),理科,307,10,346,334,339
江苏,本一批,理科,345,56,363,354,356
江苏,本一批,文科,339,11,354,342,349
江西,提前批(航海类),理工,449,45,533,496,508
江西,专项计划,理工,522,3,555,554,554
江西,专项计划,文史,558,2,579,570,575
江西,本一批,理工,522,24,581,572,574
江西,本一批,文史,558,10,596,593,594
江西,本二批,理工,449,48,561,537,543
江西,本二批,文史,502,4,572,569,571
辽宁,提前批(航海类),理工,369,40,519,470,490
辽宁,本科批,理工,369,30,577,443,566
辽宁,本科批,文史,482,10,595,591,592
内蒙古,本一批,普通理科,477,14,559,517,535
内蒙古,本一批,普通文科,522,6,572,555,565
宁夏,本二批,理工,381,21,473,461,464
宁夏,本二批,文史,455,4,550,545,548
